date,content
28.12.2025,Монтаж фитингов для ГПИ труб подорожает с следующего квартала. Рекомендуем закупиться заранее!
18.10.2025,Монтаж фитингов для ГПИ труб подорожает с следующего квартала. Рекомендуем закупиться заранее!
07.08.2025,Рынок теплоизолированных труб продолжает расти. В этом году ожидается рост на 15%.
23.07.2025,Теплоизоляция труб — лучшая инвестиция перед отопительным сезоном. Экономьте до 30% тепла.
08.07.2025,"В связи с ростом цен на сырье, стоимость полиэтиленовых труб увеличится в ближайшее время."
14.06.2025,Рынок теплоизолированных труб продолжает расти. В этом году ожидается рост на 15%.
16.03.2025,Монтаж фитингов для ГПИ труб подорожает с следующего квартала. Рекомендуем закупиться заранее!
06.01.2025,Завод начал производство новой серии теплоизолированных труб для низких температур.
08.10.2024,Рынок теплоизолированных труб продолжает расти. В этом году ожидается рост на 15%.
16.08.2024,"В связи с ростом цен на сырье, стоимость полиэтиленовых труб увеличится в ближайшее время."
22.07.2024,Монтаж фитингов для ГПИ труб подорожает с следующего квартала. Рекомендуем закупиться заранее!
07.07.2024,При заказе труб ТВЭЛ-ПЭКС на сумму от 100 000 рублей – бесплатная доставка по Москве.
08.06.2024,С 1 числа следующего месяца ожидается повышение цен на трубы Изопрофлекс и ТВЭЛ-ПЭКС.
18.04.2024,Монтаж фитингов для ГПИ труб подорожает с следующего квартала. Рекомендуем закупиться заранее!
26.01.2024,Поступила новая партия труб Изопрофлекс Арктик. Теперь доступны диаметры от 25 до 160 мм.
12.11.2023,"В связи с ростом цен на сырье, стоимость полиэтиленовых труб увеличится в ближайшее время."
18.09.2023,Теплоизоляция труб — лучшая инвестиция перед отопительным сезоном. Экономьте до 30% тепла.
15.08.2023,С 1 числа следующего месяца ожидается повышение цен на трубы Изопрофлекс и ТВЭЛ-ПЭКС.
18.07.2023,Теплоизоляция труб — лучшая инвестиция перед отопительным сезоном. Экономьте до 30% тепла.
20.06.2023,Завод начал производство новой серии теплоизолированных труб для низких температур.
05.06.2023,Поступила новая партия труб Изопрофлекс Арктик. Теперь доступны диаметры от 25 до 160 мм.
21.05.2023,Монтаж фитингов для ГПИ труб подорожает с следующего квартала. Рекомендуем закупиться заранее!
08.03.2023,"Дорогие женщины! Поздравляем с 8 марта! Цветы — вам, трубы — нам. Скидки на трубы до конца месяца!"
10.01.2023,"В связи с ростом цен на сырье, стоимость полиэтиленовых труб увеличится в ближайшее время."
14.11.2022,Завод начал производство новой серии теплоизолированных труб для низких температур.
09.09.2022,Поступила новая партия труб Изопрофлекс Арктик. Теперь доступны диаметры от 25 до 160 мм.
24.06.2022,Монтаж фитингов для ГПИ труб подорожает с следующего квартала. Рекомендуем закупиться заранее!
09.06.2022,С 1 числа следующего месяца ожидается повышение цен на трубы Изопрофлекс и ТВЭЛ-ПЭКС.
11.03.2022,С 1 числа следующего месяца ожидается повышение цен на трубы Изопрофлекс и ТВЭЛ-ПЭКС.
24.02.2022,Рынок теплоизолированных труб продолжает расти. В этом году ожидается рост на 15%.
09.02.2022,Рынок теплоизолированных труб продолжает расти. В этом году ожидается рост на 15%.
12.01.2022,Поступила новая партия труб Изопрофлекс Арктик. Теперь доступны диаметры от 25 до 160 мм.
11.12.2021,Поступила новая партия труб Изопрофлекс Арктик. Теперь доступны диаметры от 25 до 160 мм.
06.10.2021,Рынок теплоизолированных труб продолжает расти. В этом году ожидается рост на 15%.
09.09.2021,Завод начал производство новой серии теплоизолированных труб для низких температур.
25.08.2021,Рынок теплоизолированных труб продолжает расти. В этом году ожидается рост на 15%.
10.08.2021,"В связи с ростом цен на сырье, стоимость полиэтиленовых труб увеличится в ближайшее время."
26.07.2021,"В связи с ростом цен на сырье, стоимость полиэтиленовых труб увеличится в ближайшее время."
30.06.2021,С 1 числа следующего месяца ожидается повышение цен на трубы Изопрофлекс и ТВЭЛ-ПЭКС.
23.05.2021,С 1 числа следующего месяца ожидается повышение цен на трубы Изопрофлекс и ТВЭЛ-ПЭКС.
28.03.2021,Поступила новая партия труб Изопрофлекс Арктик. Теперь доступны диаметры от 25 до 160 мм.
28.12.2020,"В связи с ростом цен на сырье, стоимость полиэтиленовых труб увеличится в ближайшее время."
02.12.2020,"В связи с ростом цен на сырье, стоимость полиэтиленовых труб увеличится в ближайшее время."
08.09.2020,С 1 числа следующего месяца ожидается повышение цен на трубы Изопрофлекс и ТВЭЛ-ПЭКС.
29.07.2020,При заказе труб ТВЭЛ-ПЭКС на сумму от 100 000 рублей – бесплатная доставка по Москве.
14.07.2020,При заказе труб ТВЭЛ-ПЭКС на сумму от 100 000 рублей – бесплатная доставка по Москве.
01.05.2020,Завод начал производство новой серии теплоизолированных труб для низких температур.
16.03.2020,С 1 числа следующего месяца ожидается повышение цен на трубы Изопрофлекс и ТВЭЛ-ПЭКС.
19.02.2020,С 1 числа следующего месяца ожидается повышение цен на трубы Изопрофлекс и ТВЭЛ-ПЭКС.
01.01.2020,"С Новым годом! Пусть в новом году трубы не текут, а счета за отопление тают!"
03.10.2019,Завод начал производство новой серии теплоизолированных труб для низких температур.
05.08.2019,"ВНИМАНИЕ АКЦИЯ!!! Стартовала распродажа на кожухи для изоляции тройников и отводов для труб типа Изопрофлекс, Изола, Изоком, ТВЭЛ-ПЭКС. Стоимость от 8 до 12 тысяч."
12.06.2019,В день России продаем только трубы отечественных производителей с дополнительной скидкой 5%. Звоните!
01.06.2019,"В день защиты детей, продаем детям трубы изопрофлекс в Москве с дополнительной скидкой. Подробности у наших менеджеров!"
09.05.2019,Группа компаний ГЛАВТРУБТОРГ поздравляет всех с праздником Великой Победы. Сегодня не продаем ничего немецкого!
01.04.2019,"Окончание отопительного сезона все ближе и ближе также, как и майские праздники, рекомендуем задуматься о покупке теплотрассы заранее!"
08.03.2019,Дорогие женщины! С 8-м марта! Сильных вам мужчин. Акция для самых сильных на теплотрассы продолжается до 15 марта только ради вас!
23.02.2019,Сильному полу - еще быть сильнее! Акция на теплотрассы для самых сильных. Подробности у менеджеров.
01.02.2019,В Россию прошли первые поставки труб ИЗОКОМ А-115 расчитанных на рабочую температуру 115°С.
14.01.2019,Прайс-лист на трубы ТВЭЛ-ПЭКС поменяется с 28.01.2018 г.
01.01.2019,Всех поздравляем с Новым Годом и очередным прайс-листом на трубы Изопрофлекс!
26.11.2018,"Дорогие коллеги! Напоминаем, что традиционно в новом году ожидается изменение цен в большую сторону по трубам Изопрофлекс, Касафлекс, ТВЭЛ-ПЭКС. По ИЗОКОМ и УПОНОР пока данных нет, но вероятность есть, но точно все подорожают дополнительно еще на 2% с учетом новой ставки НДС."
01.09.2018,"Внимание! С 24.09.2018 теплотрассы Упонор подорожают. Стоит, наверное, подумать о приобретении в данный момент."
15.07.2018,"Обращаем Ваше внимание, что в линейке ТВЭЛ-ПЭКС появились двойные армированные трубы ТВЭЛ-ПЭКС-2К. Типоразмеры:"
01.07.2018,Труба Изопрофлекс Тандем 2х63/180 поступила в промышленное производства и теперь доступна для заказов.
15.05.2018,"Предупреждаем, что в июне ожидаем повышения цен на трубы ИЗОКОМ, лучше купить заранее!"
21.03.2018,Трубы УПОНОР ЭКОФЛЕКС подорожают с 28.03.18 г. Будьте внимательнее и поторопитесь!
08.03.2018,"Если Вы женщина прораб, то сегодня для Вас бесплатная доставка! Остальных женщин просто с праздником!"
23.02.2018,"Всех мужчин с праздником! Кто трубы не уберег с молоду, меняем сегодня по хорошим ценам. Акция ""Вам труба!"", подробности уточняйте по нашему телефону."
01.02.2018,Ожидаем подорожания труб ТВЭЛ-ПЭКС с 13.02.2018 г. Лучше заказать сейчас!
26.01.2018,Новый прайс-лист на трубы Упонор. Цены уточняйте у менеджеров.
20.01.2018,Группа ПОЛИМЕРТЕПЛО - производитель труб ИЗОПРОФЛЕКС и КАСАФЛЕКС поднимает цены с 01.02.2018 г. Успейте купить по старым ценам!
01.01.2018,С Новым Годом! Сегодня никаких отгрузок компания ГЛАВТРУБТОРГ точно производить не будет. Обращайтесь после праздников!
25.12.2017,"На католическое рождество, всем католическим священникам даем дополнительную скидку на незамерзающие водопроводы Упонор Супра Плюс. Пусть Вера никогда не мерзнет! И Надежда с Любовью."
